product_id,product_name,category,price,stock_quantity,description
1,Laptop Pro,Electronics,1299.99,50,High-performance laptop with 16GB RAM
2,Wireless Headphones,Electronics,89.99,100,Noise-cancelling wireless headphones
3,Smartphone X,Electronics,799.99,75,Latest smartphone with 128GB storage
4,Desk Chair,Home & Garden,199.99,25,Ergonomic office chair with lumbar support
5,Coffee Maker,Home & Garden,149.99,30,Programmable coffee maker with thermal carafe
6,Running Shoes,Sports,129.99,60,Lightweight running shoes with cushioned sole
7,Yoga Mat,Sports,29.99,80,Non-slip yoga mat with carrying strap
8,Bluetooth Speaker,Electronics,79.99,45,Portable Bluetooth speaker with 20W output
9,Kitchen Knife Set,Home & Garden,89.99,40,Professional 8-piece knife set
10,Fitness Tracker,Sports,159.99,35,Smart fitness tracker with heart rate monitor 
